Titre;Auteur;Genre
Le Mythe d'Apollon et Python;William Turner;Romantisme 
Le Naufrage;William Turner;Romantisme 
Le Rigi bleu;William Turner;Romantisme 
Le Téméraire;William Turner;Romantisme 
Les feux des bateaux;William Turner;Romantisme 
Pluie - Vapeur - Vitesse;William Turner;Romantisme 
Regulus;William Turner;Romantisme 
Tempête de neige en mer;William Turner;Romantisme 
un désastre en mer;William Turner;Romantisme 
Venise en approche;William Turner;Romantisme 
Venise : La Dogana, San Giorgio ...;William Turner;Romantisme 
Venise : Le grand canal;William Turner;Romantisme 
Venise : Le pont des soupirs;William Turner;Romantisme 
Venise : Une rue animée;William Turner;Romantisme 
Château de Norham;William Turner;Romantisme 
Chutes de Clyde;William Turner;Romantisme 
Coucher de soleil écarlate;William Turner;Romantisme 
Éruption du Vésuve ;William Turner;Romantisme 
Esclaves ...;William Turner;Romantisme 
Glaucus et Scylla;William Turner;Romantisme 
Heidelberg;William Turner;Romantisme 
Incendie de la chambre des Lords (I);William Turner;Romantisme 
Incendie de la chambre des Lords (II);William Turner;Romantisme 
L'apparition d'un ange;William Turner;Romantisme 
La bataille de Trafalgar (I);William Turner;Romantisme 
La bataille de Trafalgar (II);William Turner;Romantisme 
Lac Buttermere;William Turner;Romantisme 
Le déclin de l'empire carthaginois ;William Turner;Romantisme 
    Diane et ses compagnes;Jan Vermeer;baroque 
    Le Christ dans la maison de Marthe et Marie;Jan Vermeer;baroque 
    L'Entremetteuse;Jan Vermeer;baroque 
    The Procuress, detail (supposed self-portrait);Jan Vermeer;baroque 
    La Liseuse à la fenêtre;Jan Vermeer;baroque 
    Une jeune fille assoupie;Jan Vermeer;baroque 
    L'Officier et la jeune fille riant;Jan Vermeer;baroque 
    Sainte Praxède;Jan Vermeer;baroque 
    A Lady and Two Gentlemen;Jan Vermeer;baroque 
    La Ruelle;Jan Vermeer;baroque 
    Le Verre de vin;Jan Vermeer;baroque 
    La Laitière;Jan Vermeer;baroque 
    La Leçon de musique interrompue;Jan Vermeer;baroque 
    Vue de Delft;Jan Vermeer;baroque 
    La Dame au collier de perles;Jan Vermeer;baroque 
    La Femme en bleu lisant une lettre;Jan Vermeer;baroque 
    Le Concert;Jan Vermeer;baroque 
    La Femme au luth;Jan Vermeer;baroque 
    A Lady at the Virginals with a Gentleman;Jan Vermeer;baroque 
    La Jeune Fille à la perle;Jan Vermeer;baroque 
    La Leçon de musique;Jan Vermeer;baroque 
    La Femme à la balance;Jan Vermeer;baroque 
    Jeune Femme à l'aiguière;Jan Vermeer;baroque 
    Jeune Femme écrivant une lettre;Jan Vermeer;baroque 
    La Jeune Fille à la flûte;Jan Vermeer;baroque 
    La Fille au chapeau rouge;Jan Vermeer;baroque 
    La Maîtresse et la Servante;Jan Vermeer;baroque 
    Portrait d'une jeune femme;Jan Vermeer;baroque 
    L'Art de la peinture;Jan Vermeer;baroque 
    L'Astronome;Jan Vermeer;baroque 
    Le Géographe;Jan Vermeer;baroque 
    La Lettre d'amour;Jan Vermeer;baroque 
    Femme écrivant une lettre et sa servante;Jan Vermeer;baroque 
    La Dentellière;Jan Vermeer;baroque 
    Une dame debout au virginal;Jan Vermeer;baroque 
    Jeune Femme jouant du virginal;Jan Vermeer;baroque 
    Dame assise au virginal;Jan Vermeer;baroque 
    Une femme jouant de la guitare;Jan Vermeer;baroque 
    L'Allégorie de la Foi;Jan Vermeer;baroque 
avions par couleurs , grand nu;František Kupka ;Orphisme
avions par couleurs , grand nu;František Kupka ;Art abstrait
Femme cueillant des fleurs;František Kupka ;Orphisme
Femme cueillant des fleurs;František Kupka ;Art abstrait
forer;František Kupka ;Orphisme
forer;František Kupka ;Art abstrait
tordu noir lignes;František Kupka ;Orphisme
tordu noir lignes;František Kupka ;Art abstrait
Eau . le baigneur .;František Kupka ;Orphisme
Eau . le baigneur .;František Kupka ;Art abstrait
Mme kupka parmi les verticales;František Kupka ;Orphisme
Mme kupka parmi les verticales;František Kupka ;Art abstrait
Idol Black résistance;František Kupka ;Orphisme
Idol Black résistance;František Kupka ;Art abstrait
Tango;František Kupka ;Orphisme
Tango;František Kupka ;Art abstrait
auto portrait avec épouse;František Kupka ;Orphisme
auto portrait avec épouse;František Kupka ;Art abstrait
Positionnement des éléments;František Kupka ;Orphisme
Positionnement des éléments;František Kupka ;Art abstrait
Chromatics chauds;František Kupka ;Orphisme
Chromatics chauds;František Kupka ;Art abstrait
Les disques de Newton 1;František Kupka ;Orphisme
Les disques de Newton 1;František Kupka ;Art abstrait
The Way of Silence;František Kupka ;Orphisme
The Way of Silence;František Kupka ;Art abstrait
Clés de piano lac;František Kupka ;Orphisme
Clés de piano lac;František Kupka ;Art abstrait
Babylone;František Kupka ;Orphisme
Babylone;František Kupka ;Art abstrait
Mouvement;František Kupka ;Orphisme
Mouvement;František Kupka ;Art abstrait
Drapery for a seated figure;Léonard de Vinci;Haute Renaissance 
L'Annonciation;Léonard de Vinci;Haute Renaissance 
Profile of a warrior in helmet;Léonard de Vinci;Haute Renaissance 
The Study of Drapery of a Seated Figure;Léonard de Vinci;Haute Renaissance 
Sleeve Study for the Annunciation;Léonard de Vinci;Haute Renaissance 
Landscape drawing for Santa Maria della Neve;Léonard de Vinci;Haute Renaissance 
Woman's Head;Léonard de Vinci;Haute Renaissance 
Portrait de Ginevra de Benci;Léonard de Vinci;Haute Renaissance 
Study of hands;Léonard de Vinci;Haute Renaissance 
Le Baptême du Christ;Léonard de Vinci;Haute Renaissance 
Lily;Léonard de Vinci;Haute Renaissance 
The Study of a Drapery of a Figure Kneeling;Léonard de Vinci;Haute Renaissance 
Madonna Benois;Léonard de Vinci;Haute Renaissance 
Study;Léonard de Vinci;Haute Renaissance 
Study for the Madonna with the Fruit Bowl;Léonard de Vinci;Haute Renaissance 
Study of a child with a cat;Léonard de Vinci;Haute Renaissance 
Study of the Madonna and Child with a Cat;Léonard de Vinci;Haute Renaissance 
Study sheet;Léonard de Vinci;Haute Renaissance 
Study of the Hanged Bernardo di Bandino Baroncelli, assassin of Giuliano de Medici;Léonard de Vinci;Haute Renaissance 
Annunciation;Léonard de Vinci;Haute Renaissance 
Automobile;Léonard de Vinci;Haute Renaissance 
Saint Jérôme;Léonard de Vinci;Haute Renaissance 
Studies of central plan buildings;Léonard de Vinci;Haute Renaissance 
Study for the Adoration of the Magi;Léonard de Vinci;Haute Renaissance 
Study of nursing Madonna and profile heads;Léonard de Vinci;Haute Renaissance 
L'Adoration des mages;Léonard de Vinci;Haute Renaissance 
La Madone à l'œillet;Léonard de Vinci;Haute Renaissance 
Drapery for a seated figure;Léonard de Vinci;Haute Renaissance 
Study of an Old Man;Léonard de Vinci;Haute Renaissance 
Crossbow Machine;Léonard de Vinci;Haute Renaissance 
Head of a Man;Diego Vélasquez ;baroque 
Vieille faisant frire des œufs;Diego Vélasquez ;baroque 
Breakfast;Diego Vélasquez ;baroque 
Head of a Girl;Diego Vélasquez ;baroque 
Scène de cuisine;Diego Vélasquez ;baroque 
Trois musiciens;Diego Vélasquez ;baroque 
Adoration des Mages;Diego Vélasquez ;baroque 
Saint Jean à Patmos;Diego Vélasquez ;baroque 
Immaculée Conception;Diego Vélasquez ;baroque 
Christ dans la maison de Marthe et Marie;Diego Vélasquez ;baroque 
Don Cristobal Suarez de Ribera;Diego Vélasquez ;baroque 
La Vénérable Mère Jerónima de la Fuente;Diego Vélasquez ;baroque 
Saint Paul;Diego Vélasquez ;baroque 
Saint Thomas;Diego Vélasquez ;baroque 
Saint Paul;Diego Vélasquez ;baroque 
La Cène d'Emmaüs;Diego Vélasquez ;baroque 
Déjeuner de paysans;Diego Vélasquez ;baroque 
Imposition de la chasuble à Saint Ildefonse;Diego Vélasquez ;baroque 
Portrait of a Man with a Goatee;Diego Vélasquez ;baroque 
Portrait de Luis de Góngora y Argote;Diego Vélasquez ;baroque 
Deux jeunes à table;Diego Vélasquez ;baroque 
Portrait of a Cleric;Diego Vélasquez ;baroque 
Portrait of a Young Man;Diego Vélasquez ;baroque 
Le Porteur d'eau de Séville;Diego Vélasquez ;baroque 
A young Man(Self-Portrait);Diego Vélasquez ;baroque 
Philip IV;Diego Vélasquez ;baroque 
Portrait du comte-duc d'Olivares;Diego Vélasquez ;baroque 
Isabella of Bourbon;Diego Vélasquez ;baroque 
Don Gaspde Guzman, Count of Olivares and Duke of San Lucla Mayor;Diego Vélasquez ;baroque 
Philip IV of Spain;Diego Vélasquez ;baroque 
Portrait de l'infant Don Carlos;Diego Vélasquez ;baroque 
Retrato de Don Sebastián Garcia de Huerta;Diego Vélasquez ;baroque 
Christ contemplé par l’âme chrétienne;Diego Vélasquez ;baroque 
Philippe IV en armure;Diego Vélasquez ;baroque 
Portrait of a Man;Diego Vélasquez ;baroque 
Le Triomphe de Bacchus;Diego Vélasquez ;baroque 
Démocrite;Diego Vélasquez ;baroque 
