1;    A Lady and Two Gentlemen;;;Jan Vermeer;4;;(;    A Lady and Two Gentlemen;,;';';,;),;(1,'    A Lady and Two Gentlemen',4),
2;    A Lady at the Virginals with a Gentleman;;;Jan Vermeer;4;;(;    A Lady at the Virginals with a Gentleman;,;';';,;),;(2,'    A Lady at the Virginals with a Gentleman',4),
3;    Dame assise au virginal;;;Jan Vermeer;4;;(;    Dame assise au virginal;,;';';,;),;(3,'    Dame assise au virginal',4),
4;    Diane et ses compagnes;;;Jan Vermeer;4;;(;    Diane et ses compagnes;,;';';,;),;(4,'    Diane et ses compagnes',4),
5;    Femme écrivant une lettre et sa servante;;;Jan Vermeer;4;;(;    Femme écrivant une lettre et sa servante;,;';';,;),;(5,'    Femme écrivant une lettre et sa servante',4),
6;    Jeune Femme à l'aiguière;;;Jan Vermeer;4;;(;    Jeune Femme à l/'aiguière;,;';';,;),;(6,'    Jeune Femme à l/'aiguière',4),
7;    Jeune Femme écrivant une lettre;;;Jan Vermeer;4;;(;    Jeune Femme écrivant une lettre;,;';';,;),;(7,'    Jeune Femme écrivant une lettre',4),
8;    Jeune Femme jouant du virginal;;;Jan Vermeer;4;;(;    Jeune Femme jouant du virginal;,;';';,;),;(8,'    Jeune Femme jouant du virginal',4),
9;    L'Allégorie de la Foi;;;Jan Vermeer;4;;(;    L/'Allégorie de la Foi;,;';';,;),;(9,'    L/'Allégorie de la Foi',4),
10;    L'Art de la peinture;;;Jan Vermeer;4;;(;    L/'Art de la peinture;,;';';,;),;(10,'    L/'Art de la peinture',4),
11;    L'Astronome;;;Jan Vermeer;4;;(;    L/'Astronome;,;';';,;),;(11,'    L/'Astronome',4),
12;    L'Entremetteuse;;;Jan Vermeer;4;;(;    L/'Entremetteuse;,;';';,;),;(12,'    L/'Entremetteuse',4),
13;    L'Officier et la jeune fille riant;;;Jan Vermeer;4;;(;    L/'Officier et la jeune fille riant;,;';';,;),;(13,'    L/'Officier et la jeune fille riant',4),
14;    La Dame au collier de perles;;;Jan Vermeer;4;;(;    La Dame au collier de perles;,;';';,;),;(14,'    La Dame au collier de perles',4),
15;    La Dentellière;;;Jan Vermeer;4;;(;    La Dentellière;,;';';,;),;(15,'    La Dentellière',4),
16;    La Femme à la balance;;;Jan Vermeer;4;;(;    La Femme à la balance;,;';';,;),;(16,'    La Femme à la balance',4),
17;    La Femme au luth;;;Jan Vermeer;4;;(;    La Femme au luth;,;';';,;),;(17,'    La Femme au luth',4),
18;    La Femme en bleu lisant une lettre;;;Jan Vermeer;4;;(;    La Femme en bleu lisant une lettre;,;';';,;),;(18,'    La Femme en bleu lisant une lettre',4),
19;    La Fille au chapeau rouge;;;Jan Vermeer;4;;(;    La Fille au chapeau rouge;,;';';,;),;(19,'    La Fille au chapeau rouge',4),
20;    La Jeune Fille à la flûte;;;Jan Vermeer;4;;(;    La Jeune Fille à la flûte;,;';';,;),;(20,'    La Jeune Fille à la flûte',4),
21;    La Jeune Fille à la perle;;;Jan Vermeer;4;;(;    La Jeune Fille à la perle;,;';';,;),;(21,'    La Jeune Fille à la perle',4),
22;    La Laitière;;;Jan Vermeer;4;;(;    La Laitière;,;';';,;),;(22,'    La Laitière',4),
23;    La Leçon de musique;;;Jan Vermeer;4;;(;    La Leçon de musique;,;';';,;),;(23,'    La Leçon de musique',4),
24;    La Leçon de musique interrompue;;;Jan Vermeer;4;;(;    La Leçon de musique interrompue;,;';';,;),;(24,'    La Leçon de musique interrompue',4),
25;    La Lettre d'amour;;;Jan Vermeer;4;;(;    La Lettre d/'amour;,;';';,;),;(25,'    La Lettre d/'amour',4),
26;    La Liseuse à la fenêtre;;;Jan Vermeer;4;;(;    La Liseuse à la fenêtre;,;';';,;),;(26,'    La Liseuse à la fenêtre',4),
27;    La Maîtresse et la Servante;;;Jan Vermeer;4;;(;    La Maîtresse et la Servante;,;';';,;),;(27,'    La Maîtresse et la Servante',4),
28;    La Ruelle;;;Jan Vermeer;4;;(;    La Ruelle;,;';';,;),;(28,'    La Ruelle',4),
29;    Le Christ dans la maison de Marthe et Marie;;;Jan Vermeer;4;;(;    Le Christ dans la maison de Marthe et Marie;,;';';,;),;(29,'    Le Christ dans la maison de Marthe et Marie',4),
30;    Le Concert;;;Jan Vermeer;4;;(;    Le Concert;,;';';,;),;(30,'    Le Concert',4),
31;    Le Géographe;;;Jan Vermeer;4;;(;    Le Géographe;,;';';,;),;(31,'    Le Géographe',4),
